D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'E', 2.56], ['E', 'F', 2.78], ['F', 'G', 5.32], ['G', 'Z', 2.08]]
Melhor caminho: [['A', 'B', 0.15], ['B', 'F', 3.94], ['F', 'G', 4.08], ['G', 'Z', 3.69]]
Melhor caminho: [['A', 'B', 1.39], ['B', 'F', 2.18], ['F', 'G', 5.71], ['G', 'Z', 3.55]]
Melhor caminho: [['A', 'E', 3.29], ['E', 'H', 3.93], ['H', 'J', 2.12], ['J', 'Z', 1.82]]
Melhor caminho: [['A', 'B', 1.86], ['B', 'F', 3.7], ['F', 'G', 5.55], ['G', 'Z', 3.9]]
Melhor caminho: [['A', 'E', 2.61], ['E', 'H', 4.34], ['H', 'J', 3.4], ['J', 'Z', 1.67]]
Melhor caminho: [['A', 'B', 0.24], ['B', 'F', 2.29], ['F', 'G', 4.15], ['G', 'Z', 2.21]]
Melhor caminho: [['A', 'B', 1.17], ['B', 'F', 2.63], ['F', 'G', 6.67], ['G', 'Z', 2.05]]
Melhor caminho: [['A', 'E', 2.94], ['E', 'F', 2.92], ['F', 'G', 3.63], ['G', 'Z', 3.71]]
Melhor caminho: [['A', 'B', 0.19], ['B', 'F', 5.79], ['F', 'G', 6.56], ['G', 'Z', 2.38]]
Melhor caminho: [['A', 'C', 3.12], ['C', 'D', 2.73], ['D', 'H', 2.43], ['H', 'J', 3.37], ['J', 'Z', 1.53]]
Melhor caminho: [['A', 'B', 1.55], ['B', 'F', 3.79], ['F', 'G', 4.29], ['G', 'Z', 2.53]]
Melhor caminho: [['A', 'B', 1.38], ['B', 'F', 4.57], ['F', 'G', 5.42], ['G', 'Z', 2.17]]
Melhor caminho: [['A', 'B', 0.88], ['B', 'F', 4.12], ['F', 'G', 4.14], ['G', 'Z', 2.66]]
Melhor caminho: [['A', 'B', 0.58], ['B', 'F', 4.53], ['F', 'G', 5.47], ['G', 'Z', 3.69]]
Melhor caminho: [['A', 'B', 0.31], ['B', 'F', 3.47], ['F', 'G', 4.51], ['G', 'Z', 2.45]]
Melhor caminho: [['A', 'B', 0.78], ['B', 'F', 2.38], ['F', 'G', 6.98], ['G', 'Z', 2.12]]
Melhor caminho: [['A', 'B', 1.83], ['B', 'F', 3.33], ['F', 'G', 3.38], ['G', 'Z', 2.11]]
Melhor caminho: [['A', 'E', 3.46], ['E', 'H', 4.39], ['H', 'J', 2.96], ['J', 'Z', 2.19]]
Melhor caminho: [['A', 'B', 1.03], ['B', 'F', 3.65], ['F', 'G', 5.2], ['G', 'Z', 2.57]]
