D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'C', 3.83], ['C', 'D', 1.42], ['D', 'K', 4.53], ['K', 'L', 1.49], ['L', 'Z', 2.15]]
Melhor caminho: [['A', 'B', 0.5], ['B', 'F', 3.79], ['F', 'G', 4.15], ['G', 'Z', 3.94]]
Melhor caminho: [['A', 'B', 1.36], ['B', 'F', 2.3], ['F', 'G', 5.49], ['G', 'Z', 3.91]]
Melhor caminho: [['A', 'B', 1.27], ['B', 'F', 2.01], ['F', 'G', 4.27], ['G', 'Z', 2.13]]
Melhor caminho: [['A', 'E', 3.16], ['E', 'H', 6.11], ['H', 'J', 3.28], ['J', 'Z', 1.95]]
Melhor caminho: [['A', 'B', 1.94], ['B', 'F', 3.7], ['F', 'G', 4.87], ['G', 'Z', 2.05]]
Melhor caminho: [['A', 'C', 5.23], ['C', 'I', 3.9], ['I', 'L', 1.16], ['L', 'Z', 1.94]]
Melhor caminho: [['A', 'B', 0.73], ['B', 'F', 2.55], ['F', 'G', 5.84], ['G', 'Z', 2.81]]
Melhor caminho: [['A', 'C', 4.5], ['C', 'D', 1.67], ['D', 'H', 2.8], ['H', 'J', 2.26], ['J', 'Z', 1.27]]
Melhor caminho: [['A', 'B', 1.85], ['B', 'F', 2.68], ['F', 'G', 6.23], ['G', 'Z', 3.43]]
Melhor caminho: [['A', 'B', 0.73], ['B', 'F', 5.97], ['F', 'G', 6.26], ['G', 'Z', 3.46]]
Melhor caminho: [['A', 'B', 0.39], ['B', 'F', 3.28], ['F', 'G', 5.49], ['G', 'Z', 3.08]]
Melhor caminho: [['A', 'E', 2.71], ['E', 'H', 5.98], ['H', 'J', 3.25], ['J', 'Z', 1.43]]
Melhor caminho: [['A', 'B', 0.28], ['B', 'F', 2.75], ['F', 'G', 4.79], ['G', 'Z', 2.09]]
Melhor caminho: [['A', 'E', 3.8], ['E', 'F', 2.85], ['F', 'G', 4.62], ['G', 'Z', 2.01]]
Melhor caminho: [['A', 'E', 2.65], ['E', 'F', 2.42], ['F', 'G', 5.13], ['G', 'Z', 2.24]]
Melhor caminho: [['A', 'B', 0.12], ['B', 'F', 5.1], ['F', 'G', 3.36], ['G', 'Z', 3.73]]
Melhor caminho: [['A', 'B', 0.94], ['B', 'F', 2.56], ['F', 'G', 6.49], ['G', 'Z', 3.51]]
Melhor caminho: [['A', 'B', 1.22], ['B', 'F', 2.96], ['F', 'G', 4.18], ['G', 'Z', 3.13]]
Melhor caminho: [['A', 'B', 0.68], ['B', 'F', 2.72], ['F', 'G', 3.35], ['G', 'Z', 3.45]]
Melhor caminho: [['A', 'B', 0.82], ['B', 'F', 4.41], ['F', 'G', 5.8], ['G', 'Z', 2.51]]
Melhor caminho: [['A', 'C', 3.35], ['C', 'I', 4.06], ['I', 'L', 2.28], ['L', 'Z', 1.97]]
Melhor caminho: [['A', 'B', 1.91], ['B', 'F', 4.9], ['F', 'G', 3.59], ['G', 'Z', 2.01]]
Melhor caminho: [['A', 'B', 1.41], ['B', 'F', 3.3], ['F', 'G', 4.51], ['G', 'Z', 2.1]]
Melhor caminho: [['A', 'E', 2.62], ['E', 'H', 6.11], ['H', 'J', 2.85], ['J', 'Z', 2.54]]
Melhor caminho: [['A', 'E', 2.5], ['E', 'F', 2.72], ['F', 'G', 6.45], ['G', 'Z', 2.26]]
Melhor caminho: [['A', 'B', 1.67], ['B', 'F', 4.51], ['F', 'G', 3.68], ['G', 'Z', 2.08]]
Melhor caminho: [['A', 'B', 0.72], ['B', 'F', 3.71], ['F', 'G', 7.27], ['G', 'Z', 2.84]]
Melhor caminho: [['A', 'B', 0.25], ['B', 'F', 2.19], ['F', 'G', 4.17], ['G', 'Z', 2.69]]
Melhor caminho: [['A', 'C', 5.32], ['C', 'D', 2.91], ['D', 'K', 4.67], ['K', 'L', 0.86], ['L', 'Z', 1.78]]
Melhor caminho: [['A', 'B', 0.22], ['B', 'F', 3.9], ['F', 'G', 3.69], ['G', 'Z', 2.66]]
Melhor caminho: [['A', 'B', 1.73], ['B', 'F', 5.79], ['F', 'G', 3.95], ['G', 'Z', 3.0]]
Melhor caminho: [['A', 'B', 1.39], ['B', 'F', 3.5], ['F', 'G', 6.79], ['G', 'Z', 2.69]]
Melhor caminho: [['A', 'B', 0.8], ['B', 'F', 5.69], ['F', 'G', 3.67], ['G', 'Z', 2.98]]
Melhor caminho: [['A', 'B', 0.92], ['B', 'F', 3.58], ['F', 'G', 6.19], ['G', 'Z', 2.7]]
Melhor caminho: [['A', 'E', 2.75], ['E', 'H', 5.95], ['H', 'J', 2.21], ['J', 'Z', 1.94]]
Melhor caminho: [['A', 'B', 1.24], ['B', 'F', 3.28], ['F', 'G', 5.67], ['G', 'Z', 2.72]]
Melhor caminho: [['A', 'B', 0.15], ['B', 'F', 3.22], ['F', 'G', 2.58], ['G', 'Z', 3.06]]
Melhor caminho: [['A', 'B', 1.08], ['B', 'F', 2.19], ['F', 'G', 4.94], ['G', 'Z', 2.67]]
Melhor caminho: [['A', 'B', 1.04], ['B', 'F', 4.52], ['F', 'G', 3.66], ['G', 'Z', 3.96]]
Melhor caminho: [['A', 'B', 1.0], ['B', 'F', 2.05], ['F', 'G', 4.04], ['G', 'Z', 3.79]]
Melhor caminho: [['A', 'C', 4.4], ['C', 'I', 3.4], ['I', 'L', 1.44], ['L', 'Z', 2.1]]
Melhor caminho: [['A', 'C', 6.75], ['C', 'D', 1.19], ['D', 'K', 2.96], ['K', 'L', 1.7], ['L', 'Z', 1.99]]
Melhor caminho: [['A', 'B', 1.67], ['B', 'F', 2.85], ['F', 'G', 4.27], ['G', 'Z', 3.42]]
