D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'B', 1.8], ['B', 'F', 2.78], ['F', 'G', 3.19], ['G', 'Z', 3.85]]
Melhor caminho: [['A', 'E', 2.16], ['E', 'F', 2.52], ['F', 'G', 4.1], ['G', 'Z', 2.52]]
Melhor caminho: [['A', 'B', 0.97], ['B', 'F', 3.58], ['F', 'G', 4.91], ['G', 'Z', 2.93]]
Melhor caminho: [['A', 'B', 0.43], ['B', 'F', 4.19], ['F', 'G', 7.33], ['G', 'Z', 2.58]]
Melhor caminho: [['A', 'B', 0.43], ['B', 'F', 4.46], ['F', 'G', 5.7], ['G', 'Z', 2.03]]
Melhor caminho: [['A', 'C', 6.43], ['C', 'I', 5.99], ['I', 'L', 1.77], ['L', 'Z', 1.06]]
Melhor caminho: [['A', 'B', 1.47], ['B', 'F', 4.2], ['F', 'G', 4.78], ['G', 'Z', 2.94]]
Melhor caminho: [['A', 'E', 2.11], ['E', 'F', 2.42], ['F', 'G', 5.97], ['G', 'Z', 2.41]]
Melhor caminho: [['A', 'B', 0.4], ['B', 'F', 4.45], ['F', 'G', 3.44], ['G', 'Z', 3.85]]
Melhor caminho: [['A', 'B', 1.95], ['B', 'F', 3.51], ['F', 'G', 5.65], ['G', 'Z', 2.22]]
Melhor caminho: [['A', 'B', 0.39], ['B', 'F', 4.33], ['F', 'G', 6.87], ['G', 'Z', 2.11]]
Melhor caminho: [['A', 'B', 1.12], ['B', 'F', 2.85], ['F', 'G', 4.19], ['G', 'Z', 3.87]]
Melhor caminho: [['A', 'B', 0.63], ['B', 'F', 3.15], ['F', 'G', 4.75], ['G', 'Z', 2.74]]
Melhor caminho: [['A', 'E', 2.66], ['E', 'H', 6.56], ['H', 'J', 3.94], ['J', 'Z', 1.34]]
Melhor caminho: [['A', 'B', 1.57], ['B', 'F', 2.79], ['F', 'G', 4.22], ['G', 'Z', 3.02]]
Melhor caminho: [['A', 'B', 0.13], ['B', 'F', 3.97], ['F', 'G', 3.72], ['G', 'Z', 3.62]]
Melhor caminho: [['A', 'B', 0.89], ['B', 'F', 4.46], ['F', 'G', 3.89], ['G', 'Z', 2.09]]
Melhor caminho: [['A', 'B', 0.77], ['B', 'F', 5.35], ['F', 'G', 3.98], ['G', 'Z', 3.35]]
Melhor caminho: [['A', 'B', 1.34], ['B', 'F', 4.1], ['F', 'G', 4.84], ['G', 'Z', 3.0]]
Melhor caminho: [['A', 'B', 0.97], ['B', 'F', 4.79], ['F', 'G', 3.93], ['G', 'Z', 3.73]]
Melhor caminho: [['A', 'E', 2.75], ['E', 'H', 5.79], ['H', 'J', 2.19], ['J', 'Z', 1.17]]
Melhor caminho: [['A', 'C', 5.53], ['C', 'I', 4.61], ['I', 'L', 1.6], ['L', 'Z', 1.32]]
Melhor caminho: [['A', 'B', 0.76], ['B', 'F', 5.15], ['F', 'G', 4.25], ['G', 'Z', 2.01]]
Melhor caminho: [['A', 'E', 2.0], ['E', 'H', 5.41], ['H', 'J', 3.15], ['J', 'Z', 2.78]]
Melhor caminho: [['A', 'B', 0.02], ['B', 'F', 3.86], ['F', 'G', 5.0], ['G', 'Z', 2.26]]
Melhor caminho: [['A', 'B', 0.04], ['B', 'F', 3.47], ['F', 'G', 4.64], ['G', 'Z', 3.51]]
Melhor caminho: [['A', 'B', 0.54], ['B', 'F', 3.55], ['F', 'G', 4.07], ['G', 'Z', 2.13]]
Melhor caminho: [['A', 'B', 1.35], ['B', 'F', 2.32], ['F', 'G', 4.58], ['G', 'Z', 3.81]]
Melhor caminho: [['A', 'E', 3.46], ['E', 'H', 2.86], ['H', 'J', 2.2], ['J', 'Z', 1.51]]
Melhor caminho: [['A', 'C', 4.82], ['C', 'D', 1.21], ['D', 'H', 2.9], ['H', 'J', 2.72], ['J', 'Z', 3.0]]
Melhor caminho: [['A', 'B', 1.98], ['B', 'F', 2.81], ['F', 'G', 5.06], ['G', 'Z', 3.24]]
Melhor caminho: [['A', 'C', 5.63], ['C', 'D', 1.66], ['D', 'H', 2.43], ['H', 'J', 2.38], ['J', 'Z', 1.93]]
Melhor caminho: [['A', 'B', 1.37], ['B', 'F', 2.73], ['F', 'G', 5.34], ['G', 'Z', 3.93]]
Melhor caminho: [['A', 'B', 1.04], ['B', 'F', 4.41], ['F', 'G', 5.19], ['G', 'Z', 2.78]]
Melhor caminho: [['A', 'C', 6.02], ['C', 'I', 4.33], ['I', 'L', 1.99], ['L', 'Z', 1.29]]
Melhor caminho: [['A', 'E', 2.2], ['E', 'H', 6.98], ['H', 'J', 2.57], ['J', 'Z', 1.24]]
Melhor caminho: [['A', 'B', 1.89], ['B', 'F', 3.96], ['F', 'G', 4.61], ['G', 'Z', 3.9]]
Melhor caminho: [['A', 'B', 1.41], ['B', 'F', 4.73], ['F', 'G', 5.13], ['G', 'Z', 3.27]]
Melhor caminho: [['A', 'B', 1.3], ['B', 'F', 3.63], ['F', 'G', 6.21], ['G', 'Z', 2.24]]
Melhor caminho: [['A', 'B', 1.97], ['B', 'F', 2.09], ['F', 'G', 6.02], ['G', 'Z', 3.82]]
Melhor caminho: [['A', 'C', 7.74], ['C', 'I', 3.87], ['I', 'L', 1.71], ['L', 'Z', 1.9]]
Melhor caminho: [['A', 'B', 0.02], ['B', 'F', 4.97], ['F', 'G', 3.68], ['G', 'Z', 3.83]]
Melhor caminho: [['A', 'B', 1.82], ['B', 'F', 4.0], ['F', 'G', 5.58], ['G', 'Z', 2.57]]
Melhor caminho: [['A', 'B', 0.46], ['B', 'F', 3.39], ['F', 'G', 4.72], ['G', 'Z', 3.99]]
Melhor caminho: [['A', 'C', 4.7], ['C', 'I', 4.49], ['I', 'L', 2.85], ['L', 'Z', 1.47]]
Melhor caminho: [['A', 'B', 1.17], ['B', 'F', 3.47], ['F', 'G', 4.66], ['G', 'Z', 3.26]]
Melhor caminho: [['A', 'B', 2.0], ['B', 'F', 2.27], ['F', 'G', 5.88], ['G', 'Z', 2.65]]
Melhor caminho: [['A', 'B', 0.27], ['B', 'F', 5.83], ['F', 'G', 5.13], ['G', 'Z', 2.98]]
Melhor caminho: [['A', 'B', 1.01], ['B', 'F', 2.51], ['F', 'G', 5.39], ['G', 'Z', 3.89]]
Melhor caminho: [['A', 'B', 0.32], ['B', 'F', 4.31], ['F', 'G', 5.55], ['G', 'Z', 2.96]]
Melhor caminho: [['A', 'B', 0.64], ['B', 'F', 3.99], ['F', 'G', 4.35], ['G', 'Z', 3.1]]
Melhor caminho: [['A', 'C', 4.59], ['C', 'I', 3.85], ['I', 'L', 1.76], ['L', 'Z', 2.05]]
Melhor caminho: [['A', 'B', 0.51], ['B', 'F', 2.6], ['F', 'G', 4.45], ['G', 'Z', 3.99]]
Melhor caminho: [['A', 'B', 0.33], ['B', 'F', 3.66], ['F', 'G', 3.44], ['G', 'Z', 2.18]]
Melhor caminho: [['A', 'B', 0.13], ['B', 'F', 5.28], ['F', 'G', 4.37], ['G', 'Z', 3.34]]
Melhor caminho: [['A', 'B', 1.48], ['B', 'F', 5.31], ['F', 'G', 4.4], ['G', 'Z', 2.07]]
